food,Rice,Wheat,Bajra,Sugarcane(Harvested)
14-15,1380,1450,1250,220
15-16,1430,1525,1275,230
16-17,1490,1625,1330,230
17-18,1570,1735,1425,255
18-19,1760,1840,1950,275
