food,Rice,Wheat,Bajra,Sugarcane(Harvested)
Productivity Total 18-19,2198,1275,623,79
Productivity Total 14-15,1900,1225,622,89
Productiovity Total 15-16,1725,1077,416,70
Productivity Total 16-17,2333,1740,955,86
Productivity Total 17-18,1882,1657,849,92
